datetime,id,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,color
8/6/2011 20:30,66,cape town harbour (south africa),,,triangle,10,00:00:10,South Africa also got UFO&#39s,8/21/2011,-33.90428,18.43006,gold
8/7/1998 23:30,67,bonmahon (county waterford (republic of ireland),,,fireball,3,2-3 seconds,we stood on a cliff and watched the skies when a blue fireball crossed the skies at a very high speed. This was seen again 3 days late,11/1/1998,51.891176,-8.458623,gold
8/7/2001 04:00,68,aveiro (portugal),,,other,1800,30 minutes,A very large bowl-shaped UFO seen near a beach&#44 with a blue light rouding it and making a humming noise...,6/18/2003,40.640506,-8.653754,gold
8/7/2003 01:30,69,motala (sweden),,,light,8,7-8 sec.,An object that appeared at first to be a satellite zigzaged across the sky.,8/28/2003,58.538034,15.047094,gold
8/7/2003 21:30,70,yamuna nagar&#44 haryana (india),,,fireball,1200,20 minutes,It was round fire ball like object was moving around its own place very fastly.,8/28/2003,30.129308,77.26925,gold
8/7/2006 23:00,71,cancun (mexico),,,light,3,3 seconds,Red shooting star changed directions and went back into space.,10/30/2006,21.161908,-86.851528,gold
8/7/2006 23:25,72,baghdad,,,unknown,240,4 min.,Bluish lights travelling quickly&#44 stopped and then accelerated away in an instant.,10/30/2006,33.325,44.422,gold
8/7/2007 05:00,73,new zealand,,,fireball,20,15 -20 secs,domed ufo in fireball spotted over New Zealand,10/8/2007,-40.900557,174.885971,gold
8/7/2012 14:00,74,basel (switzerland),,,circle,180,3 minutes,Pilot Sighting of Motionless Silver Circle Above Switzerland,9/24/2012,47.567442,7.597551,gold
8/7/2012 19:00,75,guam,,,sphere,900,15 minutes,Bright orange orbs in Guam,5/15/2013,13.444304,144.793731,gold
8/8/2006 01:00,76,kaunas (lithuania),,,,5,5 seconds,What I saw&#44 I am absolutely sure&#44 that all UFO phenomenons is living structures in atmosphere. Life is in sea and oceans&#44 on the earth,10/30/2006,54.898521,23.903597,gold
9/27/2006 13:00,77,fes (morocco),,,,300,5 minutes,standing on roof of apartment&#44 clear sunny day. Observed white object wobbeling accross sky&#44 at first thought it was a bird and then be,12/7/2006,34.033333,-5,gold
9/27/2010 19:27,78,ciudad ojeda (venezuela),,,light,3600,1 hour,&quot;star&quot; over maracaibo lake. ((NUFORC Note: Possible sighting of a celestial body? We will look at the photos&#44 if they are sent. PD)),5/2/2011,10.02.2024,-71.3,gold
9/28/2008 19:41,79,carlow (ireland),,,light,300,5 mins,a ball of light moving very slow,10/31/2008,53.758684,10.936472,gold
9/29/1999 14:30,80,warnambool&#44 vic (australia),,,unknown,0.05,0.05 seconds,It was very quick. We have a picture of it.,11/2/1999,-38.382766,142.484499,gold
9/29/2001 21:00,81,ipoh (malaysia),,,fireball,1800,30 minutes,2 orange fireball&#44 appears and disappers in like playing with thier lights. Suddenly appears another fireball glowing for few minutes a,10/12/2001,4.61175,101.113506,gold
9/29/2003 22:30,82,kenya,,,changing,5,five seconds,ovalish sauce&#44 emiting light rays,10/15/2003,-0.023559,37.906193,gold
9/29/2003 23:30,83,bucharest (romania),,,triangle,10,10 seconds,looked at a bright star&#44looked again&#44star became a very big golden triangle which didnt move at all&#44went to get video camera&#44when i wa,10/7/2003,44.4325,26.103889,gold
10/10/1993 03:00,84,zlatoust (russia),,,sphere,1200,20 minutes,I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment,12/14/2004,55.183333,59.65,gold
10/15/2002 23:00,85,omsk (russia),,,,0,,Three lights seen passing from west to east in the night sky.,2/11/2003,54.966667,73.383333,gold
10/21/2006 03:00,86,anahola,hi,us,disk,10800,3 hours,8 year old Daughter and friend experience sighting and interaction with UFO in Hawaii.,10/30/2006,22.1452778,-159.3155556,gold
10/21/2013 18:51,87,shenzhen (china),,,light,900,15 minutes,Red and green colored spheres twisting high in the sky. Connected to a line of green laser dots?&#33,10/23/2013,22.543099,114.057868,gold
10/4/2005 17:21,88,shenyang (china),,,other,0,,See http://www.artfantast.com/ufo/ufo.html or http://www.artfantast.com/ufo/ufo.html I wrote what I want to say and the pictures there.,10/11/2005,41.805698,123.431475,gold
11/29/2013 00:45,89,mar del plata (argentina),,,light,10,10 seconds,3rd time Bright white light fades away.,12/2/2013,-37.979858,-57.589794,gold
1/15/2004 04:20,90,buenos aires (argentina),,,,0,im not sure,mi name is A.G and im from argentina&#44 and y can&#180;t write bery well in inglish so im gona write in spaish estaba en la playa con un amigo,12/3/2004,-34.603723,-58.381593,gold
12/4/2010 24:00,91,al jizah (egypt),,,triangle,0,,An orange yellow triangle shaped thing flew at a high attitude from northeast to east in 4 to 5 minutes then vanished.,1/5/2011,30.013056,31.208853,
4/23/2011 22:43,92,ibadan (univ. of ibadan)  (nigeria),,,unknown,3600,1hr or more,Glittering UFO,7/4/2011,7.396389,3.916667,
10/3/2012 05:00,93,setif (algeria),,,light,60,1 minute,One of very bright and big sphere was standing alone with a small boarded one. The another big sphere approached.,10/30/2012,36.183333,5.4,
